molecule,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm,Label
mol_58,1,0,0,0,0,5,1,0,446.403,7.051,727.208,168.315,110.657,299.772,148.464,1277.677,2,7.2,0.0389091,0.014002,0.7830458,44.631,12.566,22.694,13.231,4.297,-6.657,-6.361,-6.472,884.181,-0.577,2817.427,-2.023,8.617,1.287,1,0.427,1,100,148.464,0,82.832,6,0,21,0,21,4,32,1,0.001,1
mol_59,1,0,0,0,0,6,1,-1,460.43,10.715,750.271,180.152,125.696,299.829,144.593,1336.32,2,7.2,0.0859157,0.0135716,0.7820252,46.336,13.262,23.97,13.167,4.542,-6.872,-6.641,-6.489,636.684,-0.814,1881.471,-2.204,8.91,1.414,1,0.536,1,100,144.593,0,85.926,6,0,21,0,21,4,33,1,0,1
mol_60,0,0,0,0,0,4,1,0,414.389,10.475,706.259,194.45,117.603,276.043,118.163,1230.38,1,7.5,0.0891837,0.0106193,0.7862493,43.154,11.949,21.455,12.108,3.801,-6.198,-5.632,-6.307,759.747,-0.656,1631.783,-2.33,8.722,1.486,3,0.29,3,100,118.163,0,88.787,7,0,21,0,21,4,30,1,0.001,1
mol_61,0,0,0,0,0,4,1,0,414.389,9.335,707.946,193.793,98.412,297.709,118.033,1232.969,1,7.5,0.0706834,0.010594,0.7854765,43.464,11.994,21.246,12.128,3.974,-6.226,-5.632,-6.423,1155.214,-0.451,2562.498,-1.9,8.586,1.475,4,0.296,1,100,118.033,0,84.233,7,0,21,0,21,4,30,1,0.003,1
mol_62,1,0,0,0,0,4,1,0,413.401,11.703,709.456,193.015,98.105,300.229,118.107,1240.526,1,6.5,0.1104106,0.0091619,0.7870038,43.791,12.079,21.377,11.162,4.452,-6.636,-6.017,-6.41,1162.974,-0.444,2583.527,-1.886,8.677,1.268,1,0.523,1,100,118.107,0,76.416,6,0,21,0,21,4,30,1,0.001,1
mol_63,1,0,0,0,0,4,0,0,424.425,12.433,748.281,238.346,90.628,301.718,117.59,1298.867,1,5.5,0.119007,0.0073502,0.769384,46.14,12.672,21.674,10.23,5.291,-7.712,-6.647,-6.702,1369.229,-0.41,3062.127,-1.743,8.716,1.249,1,0.882,1,100,117.59,0,67.702,5,1,21,0,21,4,31,1,0,1
mol_64,2,0,0,0,0,5,0,0,448.462,8.571,736.853,196.668,105.184,316.781,118.22,1296.47,1,7,0.0566618,0.0094999,0.7803556,45.545,12.816,21.538,11.661,4.56,-6.765,-6.526,-6.597,996.407,-0.599,2189.129,-1.862,8.774,1.305,0,0.524,1,100,117.514,0,75.613,6,0,21,0,21,4,31,1,0.001,1
mol_65,1,0,0,0,0,6,1,-1,442.44,6.603,749.194,183.68,124.346,323.434,117.733,1323.315,2,7.2,0.032947,0.0135911,0.7780599,46.041,13.487,23.015,13.307,4.392,-6.736,-6.281,-6.666,655.732,-0.879,1384.183,-2.096,8.942,1.423,1,0.499,1,100,117.733,0,86.572,6,0,21,0,21,4,32,1,0.001,1
mol_66,1,0,0,0,0,6,1,0,442.44,7.754,736.894,193.514,104.035,321.603,117.742,1310.824,2,7.2,0.0458635,0.0138179,0.7860608,45.524,13.179,22.942,13.127,4.459,-6.526,-6.281,-6.527,1021.738,-0.632,2235.817,-1.728,8.755,1.301,1,0.472,1,100,117.742,0,82.698,6,0,21,0,21,4,32,1,0.002,1
mol_67,1,0,0,0,0,6,1,0,442.44,7.559,735.955,192.114,95.617,330.344,117.88,1311.048,2,7.2,0.0435874,0.0138355,0.7871532,45.616,13.178,22.921,13.127,4.531,-6.51,-6.281,-6.551,1227.907,-0.538,2731.972,-1.542,8.601,1.341,3,0.474,1,100,117.88,0,78.097,6,0,21,0,21,4,32,1,0.004,1
mol_68,0,0,0,0,0,6,1,-1,443.428,8.777,734.664,193.294,111.876,311.624,117.87,1302.441,2,8.2,0.0591482,0.0157848,0.7850823,45.093,13.086,23.529,14.092,3.94,-6.157,-5.916,-6.496,860.953,-0.719,1861.073,-1.908,8.935,1.581,2,0.266,3,100,117.87,0,92.393,7,0,21,0,21,4,32,1,0.004,1
mol_69,0,0,0,0,0,6,1,-2,443.428,6.015,738.206,181.603,143.398,295.935,117.269,1305.273,2,8.2,0.0277157,0.0157091,0.7824476,45.057,13.239,23.202,14.208,3.716,-6.214,-5.916,-6.464,432.573,-1.072,877.755,-2.544,8.86,1.582,3,0.271,1,95.883,117.269,0,98.323,7,0,21,0,21,4,32,1,0.001,1
mol_70,0,0,0,0,0,6,1,-1,443.428,3.927,740.129,180.88,133.34,308.479,117.43,1307.217,2,8.2,0.0117946,0.0156683,0.7811887,45.254,13.279,23.019,14.229,3.812,-6.247,-5.916,-6.544,538.808,-0.967,1115.172,-2.314,8.712,1.634,4,0.275,1,100,117.43,0,93.776,7,0,21,0,21,4,32,1,0.001,1
mol_71,1,0,0,0,0,6,1,0,456.467,12.025,789.443,275.563,73.302,322.748,117.83,1391.44,1,7.2,0.1039266,0.0091204,0.7635202,48.761,13.625,23.18,11.587,5.291,-7.454,-6.608,-6.898,1998.851,-0.347,4623.096,-1.157,8.781,1.288,1,0.687,1,100,117.83,0,71.955,6,1,21,0,21,4,33,1,0.001,1
mol_72,1,0,0,0,0,5,1,-1,437.423,2.729,734.504,160.135,133.806,322.992,117.57,1301.711,1,7,0.0057232,0.0095302,0.7849601,45.815,13.089,21.106,11.892,4.402,-7.72,-7.302,-6.552,533.352,-0.897,1104.923,-2.368,8.941,1.39,1,0.541,1,100,117.57,0,89.355,6,0,21,0,21,4,32,1,0,1
mol_73,1,0,0,0,0,5,1,-2,437.423,8.304,747.108,152.974,145.072,331.407,117.655,1310.893,1,7,0.0525967,0.0093695,0.7753415,46.262,13.355,21.933,12.056,4.387,-7.944,-7.302,-6.748,417.046,-1.058,847.868,-2.546,8.971,1.456,1,0.56,1,100,117.655,0,89.875,6,0,21,0,21,4,32,1,0,1
mol_74,1,0,0,0,1,5,1,-2,455.439,15.131,756.922,141.347,174.129,323.65,117.796,1337.239,2,7,0.1712022,0.0130786,0.7755085,47.243,13.984,25.497,16.369,3.588,-5.901,-5.978,-5.334,113.861,-1.379,427.822,-3.109,8.638,1.195,2,0.291,3,84.761,117.796,36.213,115.583,7,0,21,0,21,4,33,1,0,1
mol_75,0,0,0,0,0,5,1,-1,429.401,10.359,715.112,170.142,117,310.161,117.81,1257.001,2,8.2,0.0853637,0.0162164,0.7876764,43.903,12.668,23.527,14.29,3.625,-5.992,-5.639,-6.447,769.825,-0.706,1647.852,-2.103,8.717,1.39,2,0.195,3,100,117.81,0,93.567,7,0,21,0,21,4,31,1,0.003,1
mol_76,0,0,0,0,0,5,1,-1,429.401,7.175,716.065,171.164,127.531,299.531,117.839,1256.03,2,8.2,0.0409925,0.0161948,0.7862232,43.762,12.662,22.898,14.292,3.532,-6.008,-5.639,-6.42,611.684,-0.824,1285.679,-2.335,8.584,1.341,3,0.191,3,100,117.839,0,96.184,7,0,21,0,21,4,31,1,0.002,1
mol_77,0,0,0,0,0,5,1,0,428.413,9.205,717.401,169.803,95.534,334.391,117.673,1265.784,2,7.2,0.0669391,0.0141934,0.7888169,44.486,12.769,22.878,13.329,4.256,-6.357,-6.002,-6.544,1230.138,-0.473,2730.19,-1.622,8.385,1.142,3,0.4,1,100,117.673,0,79.068,6,0,21,0,21,4,31,1,0.004,1
mol_78,0,0,0,0,0,5,1,-1,429.401,2.027,721.147,159.318,126.046,317.768,118.015,1264.94,2,8.2,0.003247,0.0160807,0.7843707,44.293,12.871,22.583,14.418,3.618,-6.094,-5.639,-6.537,631.84,-0.814,1334.5,-2.243,8.696,1.265,4,0.212,3,100,118.015,0,94.307,7,0,21,0,21,4,31,1,0.002,1
