Filename,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
DB06808,0,1,0,0,0,8,0,1,410.573,2.335,745.539,346.031,78.088,283.692,37.729,1351.411,1,6.2,0.0040358,0.0083161,0.7929018,45.502,13.888,19.757,9.794,4.57,-5.171,-4.908,-6.962,449.052,-0.256,370.751,-3.254,7.957,0.771,7,0.719,3,100,0,0,56.945,4,0,20,0,20,5,29,1,0.002
DB06809,1,8,0,0,0,4,0,2,502.788,1.497,747.491,599.163,67.851,80.477,0,1583.474,6,13,0.0014151,0.0426003,0.8789541,55.417,15.029,34.191,23.237,-1.206,2,5.283,-9.684,34.928,0.534,17.837,-6.228,8.653,-0.326,4,0.307,2,21.585,0,0,81.667,8,2,34,0,6,20,36,0,29.767
DB06810,18,0,0,0,0,26,6,-2,1085.158,9.509,1596.668,1143.552,385.681,67.435,0,3112.792,9,35.6,0.0290471,0.0668893,0.6457292,102.369,34.75,67.474,49.156,-0.056,-6.673,-6.989,-7.586,2.18,-7.17,0.657,-5.894,8.295,0.751,16,-1.734,1,0,0,0,341.401,24,3,44,0,44,28,76,3,0
DB06811,10,0,0,0,0,38,0,-2,582.814,1.622,1330.338,1273.237,57.101,0,0,2260.342,1,17,0.0011635,0.0127787,0.6261127,59.905,22.982,27.892,13.136,5.634,-7.215,-4.075,-7.582,2847.171,-2.698,1532.912,1.077,10.531,-1.959,10,-0.612,1,95.847,0,0,97.351,10,2,0,0,0,0,40,2,0.423
DB06813,4,0,0,2,0,13,0,-2,477.479,3.332,782.898,173.299,399.744,209.855,0,1431.553,6.75,10.75,0.0077542,0.0356743,0.7846293,44.794,17.458,31.487,23.357,1.468,-4.163,-5.23,-2.403,0.103,-4.549,0.039,-6.899,8.467,1.082,6,-0.676,1,0,0,0,233.171,12,2,16,0,16,0,35,1,0
DB06814,0,1,0,0,0,9,1,-1,331.368,3.143,534.194,211.508,150.161,172.525,0,989.287,4,6.2,0.0099856,0.0232125,0.8988369,29.306,10.785,18.755,13.18,1.196,-1.123,-3.114,-4.718,93.073,-0.82,42.039,-4.878,8.791,-0.097,5,-0.283,2,69.185,0,0,95.554,6,0,15,0,15,1,24,0,0.331
DB06815,7,0,0,0,0,1,1,1,127.161,6.341,298.025,0,44.117,178.803,75.105,440.169,0.8,1,0.091344,0.0030012,0.9389831,12.527,4.691,6.648,3.915,2.026,-1.451,-1.677,-3.372,3780.367,0.354,5370.561,-1.607,8.958,1.03,3,-0.432,3,100,0,0,22.568,2,0,6,0,6,0,8,0,103.078
DB06817,1,0,0,0,0,7,0,-2,444.421,17.699,727.939,304.742,216.156,160.224,46.816,1320.331,2,11.25,0.2372649,0.0218561,0.7995743,43.721,13.335,27.095,16.514,1.67,-4.567,-4.778,-5.539,88.326,-1.998,64.812,-4.267,9.3,1.109,4,-0.277,2,58.597,46.816,0,164.948,11,1,17,0,17,0,32,0,0.001
DB06819,0,0,0,1,0,4,0,-1,164.204,2.309,406.96,100.595,109.863,196.502,0,644.533,1,2,0.0082695,0.0049145,0.8866994,18.948,6.513,8.369,5.335,2.108,-1.887,-2.085,-2.495,227.86,-0.609,127.205,-2.468,9.605,-0.281,2,-0.349,3,81.488,0,0,51.885,2,0,6,0,6,0,12,0,2.673
DB06820,1,0,0,0,0,6,0,1,397.749,3.117,588.976,53.757,30.953,310.961,193.305,1080.875,0,2.5,0.0089892,0,0.8648038,36.22,12.083,13.967,4.669,6.017,-5.872,-7.379,-5.203,5039.34,0.4,10000,-0.418,9.395,0.841,2,0.832,1,100,0,0,15.304,2,1,17,0,17,0,24,1,0.176
DB06821,0,0,0,0,0,5,0,-2,280.301,7.274,513.182,93.251,175.413,243.734,0.784,850.137,2.5,8.25,0.0622357,0.0254186,0.8457055,26.986,9.53,17.767,14.49,0.235,-2.424,-2.545,-5.191,215.008,-1.371,94.865,-3.414,8.878,0.626,4,-0.693,3,70.067,0,0,109.245,7,0,12,0,12,0,19,0,0.485
DB06823,0,0,0,1,1,4,1,-1,163.191,4.08,362.721,150.741,144.579,0,67.402,557.77,2.05,4.25,0.0298442,0.0167762,0.9034318,13.6,5.298,9.755,9.726,0.14,-0.547,-0.419,0.087,68.018,-0.693,131.187,-3.8,9.46,0.164,3,-1.203,2,60.567,0,24.602,87.498,4,0,0,0,0,0,10,0,7.331
DB06824,3,4,0,0,0,9,0,-1,146.235,1.374,417.771,265.673,152.098,0,0,643.296,6,5,0.0029344,0.0293161,0.8626482,13.812,6.353,15.055,13.486,-2.603,2,3.514,-6.659,5.55,-0.545,2.442,-7.584,9.053,-2.474,6,-1.072,2,12.068,0,0,81.112,4,1,0,0,0,0,10,1,0.381
DB06825,16,0,1,0,11,36,0,-2,1311.465,8.095,1723.858,692.102,599.61,432.147,0,3701.964,12.25,26.7,0.0177005,0.0542098,0.6713541,123.01,43.313,76.426,62.012,-1.351,-2.911,-8.599,6.208,0.001,-10.475,0.004,-9.654,8.435,0.148,19,-2.758,1,0,0,200.356,543.09,31,3,39,0,39,7,95,2,0
DB06826,1,0,0,1,0,17,1,-2,382.539,7.988,784.513,584.139,186.799,13.575,0,1405.462,3,7.4,0.0454013,0.0163377,0.7734712,39.307,13.538,21.247,10.903,3.924,-4.87,-3.944,-3.455,42.471,-2.543,20.697,-3.282,9.951,-0.427,7,-0.01,1,79.063,0,0,116.698,5,0,5,0,5,5,27,1,0.003
DB06827,12,2,0,0,5,27,1,-2,685.696,19.561,908.814,307.01,584.548,17.255,0,1834.016,9.25,16.35,0.2086211,0.0547159,0.7973071,50.071,21.424,43.126,37.947,-5.257,2,-0.789,0.526,0,-6.397,0,-13.765,9.103,0.658,13,-2.523,1,0,0,111.497,423.502,23,3,6,0,6,3,48,2,0
DB07565,2,0,0,1,1,10,1,-2,423.206,11.207,701.918,128.271,325.599,124.171,123.876,1206.008,3,9.2,0.1041371,0.0227019,0.7806308,36.875,14.215,23.87,17.84,1.045,-3.748,-3.818,-2.492,1.225,-3.297,3.731,-6.123,10.603,1.433,5,-0.819,1,34.64,0,28.095,188.3,10,0,6,0,6,0,27,1,0
DB07776,1,0,0,0,0,0,0,1,222.243,4.676,455.218,0,55.863,399.355,0,751.639,0,2.5,0.029094,0,0.8782513,27.74,8.391,10.735,6.374,3.551,-3.535,-3.592,-5.407,2925.182,0.081,1578.36,-1.142,9.309,0.928,0,0.131,3,100,0,0,35.072,2,0,16,0,16,0,17,0,4.677
DB08329,1,0,0,0,0,2,0,-2,290.352,8.369,494.983,172.085,211.113,109.674,2.11,836.732,2,9,0.0836974,0.0257139,0.8675598,27.095,8.708,17.906,14.446,-0.413,-2.335,-2.124,-4.198,98.61,-1.422,41.539,-4.832,9.764,1.174,0,-0.699,3,60.216,0,0,106.691,6,0,12,0,12,5,18,0,0.02
DB08439,0,0,0,0,0,3,0,-2,370.422,5.74,659.126,217.398,166.947,273.274,1.507,1152.291,1,6.5,0.0285946,0.0098615,0.8064387,40.644,12.262,18.966,11.506,2.955,-5.176,-5.168,-5.967,258.669,-1.325,116.911,-3.346,9.776,1.046,2,0.34,3,87.431,0,0,103.77,6,0,17,0,17,0,26,0,0.001
DB08604,2,0,0,0,0,3,0,1,289.545,2.509,483.233,0,49.821,225.158,208.254,796.888,1,1.25,0.0078986,0.0025867,0.860214,25.961,9.166,11.181,4.859,4.757,-4.516,-5.261,-4.868,3337.715,0.445,10000,-1.357,9.086,0.461,1,0.397,3,100,0,0,28.893,2,0,12,0,12,0,17,0,0.128
DB08797,1,0,0,0,0,2,0,-1,137.138,5.405,321.69,0,149.757,171.933,0,488.527,2,2.25,0.0598105,0.0098915,0.9325097,13.755,5.601,9.158,7.386,1.282,-0.161,-1.458,-3.444,376.492,-0.705,172.105,-3.482,9.336,0.298,2,-0.591,3,80.553,0,0,72.32,3,0,6,0,6,0,10,0,4.574
DB08799,0,0,1,0,0,5,0,0,265.357,4.315,535.832,167.662,31.518,336.652,0,936.525,1,3,0.0198835,0.0055988,0.8639383,31.33,9.765,13.199,6.83,4.069,-4.144,-4.277,-5.339,4977.573,-0.019,2803.777,-2.497,8.031,-0.197,4,0.38,3,100,0,0,27.9,3,0,17,0,17,2,20,0,0.061
DB08801,1,1,0,0,0,5,0,2,292.423,0.778,598.304,292.137,11.248,294.919,0,1061.91,0,3,0.0005695,0,0.8413334,35.95,10.234,12.889,5.094,4.485,-3.999,-3.678,-6.232,1932.573,0.555,1115.601,-2.27,8.771,0.013,6,0.686,3,100,0,0,17.33,2,0,15,0,15,1,22,0,0.176
DB08804,3,0,0,0,0,9,1,-1,428.654,6.112,839.279,729.246,82.704,27.329,0,1542.751,0,4,0.024216,0,0.7693479,50.069,13.528,18.325,4.442,6.872,-8.562,-6.433,-5.395,1627.874,-0.91,837.697,-2.083,10.208,0.255,4,1.644,1,100,0,0,63.579,3,1,17,0,17,14,31,1,0
DB08809,7,0,0,1,0,0,0,-1,128.943,3.356,263.715,22.199,106.764,0,134.751,371.385,1,2,0.0303342,0.007584,0.947503,8.709,3.637,5.678,4.562,0.969,-0.762,-1.058,-0.574,243.811,0.101,748.916,-3.487,10.773,0.227,1,-0.856,3,75.344,0,0,51.052,2,0,0,0,0,0,6,0,3.251
DB08814,1,0,0,1,0,2,1,-1,248.158,2.834,435.113,90.991,133.122,93.333,117.666,708.573,1,4.5,0.0113346,0.0103421,0.8833908,21.81,5.835,11.361,7.804,1.969,-2.782,-2.854,-2.056,137.122,-0.406,324.099,-3.452,10.39,1.247,0,-0.511,3,76.727,117.666,0,84.406,4,0,6,0,6,0,17,0,0.104
DB08815,0,1,0,0,0,4,0,1,492.678,4.237,800.894,512.851,68.644,164.702,54.697,1511.337,0,6.5,0.0118765,0,0.7952384,53.334,14.328,21.363,8.773,5.389,-6.358,-6.229,-6.357,551.882,0.132,573.888,-3.883,8.204,0.673,3,1.097,1,94.615,0,0,73.419,6,1,31,0,31,17,35,1,0
DB08816,1,0,0,0,0,11,0,-2,522.569,7.203,871.724,432.426,200.291,133.324,105.684,1569.417,4,11.3,0.033062,0.0259256,0.7492234,50.864,15.981,29.591,18.686,3.154,-6.475,-5.847,-6.226,124.894,-2.219,198.04,-3.685,8.603,1.1,4,0.07,1,69.981,88.496,0,139.055,10,1,23,3,20,8,36,1,0
DB08818,14,0,0,2,2,22,4,-2,776.655,12.298,961.682,435.204,526.478,0,0,1945.837,13,36.9,0.0777277,0.1383461,0.7837992,57.592,22.817,60.34,59.589,-7.606,1.392,1.163,1.333,0.003,-6.476,0.002,-9.11,9.631,-0.098,11,-3.905,1,0,0,46.506,414.338,25,3,24,0,24,20,53,2,0.015
DB08819,0,0,0,0,0,14,1,-2,452.537,5.82,764.983,406.65,95.987,201.041,61.305,1445.381,2,6.15,0.0234373,0.0113694,0.8081675,44.621,13.795,21.119,9.501,5.439,-5.815,-6.226,-5.595,1218.028,-1.11,1326.673,-1.236,9.418,-0.073,7,0.698,3,100,61.305,0,78.985,5,1,11,0,11,5,32,2,0.04
DB08820,1,0,0,0,0,5,0,-2,392.497,11.676,684.108,335.19,132.588,216.329,0,1268.819,1,3.75,0.1074515,0.0054816,0.8285278,43.48,12.686,19.345,7.794,5.026,-6.55,-6.656,-5.338,547.727,-1.026,258.088,-2.721,8.435,0.807,3,1.139,1,92.428,0,0,86.529,5,1,16,0,16,0,29,1,0
DB08822,0,0,0,0,0,9,2,-2,568.542,8.845,835.345,286.486,164.354,384.505,0,1601.067,1,10.5,0.0488585,0.0125697,0.7923287,55.814,17.21,26.767,15.285,4.197,-5.939,-8.382,-6.726,273.733,-1.724,121.946,-2.33,8.948,0.641,4,0.436,2,69.229,0,0,168.841,12,2,31,0,31,0,42,1,0.003
DB08824,0,1,0,0,0,3,1,2,431.288,5.687,608.681,319.708,37.487,119.983,131.503,1093.477,0,4,0.0295749,0,0.8432993,36.827,9.767,14.717,5.579,4.337,-4.523,-5.714,-5.366,1089.713,0.752,3154.527,-3.562,9.095,0.834,3,0.595,3,100,48.002,0,36.047,3,0,14,0,14,7,23,0,0.004
DB08826,0,0,0,0,0,1,0,0,139.154,6.537,336.951,146.407,104.602,85.942,0,522.608,1,3.25,0.0817762,0.0096453,0.9312135,14.939,4.811,8.628,6.271,0.733,-1.309,-1.247,-3.055,1009.163,-0.301,499.611,-3.049,8.375,0.174,4,-0.543,3,85.004,0,0,53.768,3,0,6,0,6,0,10,0,6.23
DB08827,10,1,0,0,1,10,0,1,693.731,9.196,1050.35,255.703,58.198,522.969,213.48,2000.688,2,7,0.0422659,0.0094249,0.7310558,72.487,20.513,32.598,15.508,8.628,-9.956,-10.277,-7.73,464.748,0.157,5441.442,-1.852,9.146,0.819,1,1.846,1,100,213.48,21.821,70.239,5,2,31,0,31,6,50,1,0
DB08828,0,0,0,0,0,4,0,-1,421.297,9.448,690.096,83.537,131.698,360.693,114.168,1194.121,1,7.5,0.0747543,0.0108681,0.788778,42.511,13.856,21.221,12.739,3.562,-5.899,-5.851,-6.67,558.483,-0.809,1112.519,-2.292,8.928,1.267,1,0.195,3,96.966,0,0,81.928,5,0,18,0,18,0,27,1,0.003
DB08834,0,0,0,1,1,10,0,-2,499.705,9.778,812.577,539.034,271.974,0,1.569,1537.707,3,8.9,0.0621765,0.0189708,0.7928962,48.964,15.157,26.457,16.329,2.948,-5.199,-4.972,-1.701,4.182,-2.919,2.828,-5.572,10.038,0.369,3,0.062,2,55.331,0,24.994,145.077,7,0,17,0,17,17,34,1,0
DB08860,0,0,0,1,0,9,1,-2,421.467,4.606,727.701,218.839,166.28,295.75,46.832,1319.403,2,5.4,0.0160768,0.0104944,0.7994607,43.694,13.93,20.8,10.892,5.029,-6.164,-6.316,-4.38,66.476,-1.598,60.642,-2.678,8.995,1.145,3,0.546,3,76.053,46.832,0,100.045,5,1,19,3,16,3,31,1,0.001
DB08864,1,0,0,0,0,8,0,-2,366.424,13.335,681.953,162.729,186.628,332.596,0,1211.346,2,6,0.1467873,0.0124426,0.8058538,40.364,13.604,21.705,11.967,3.268,-6.137,-6.307,-6.26,168.31,-1.835,72.089,-3.019,8.615,1.087,4,0.36,3,85.921,0,0,89.234,6,0,18,0,18,0,28,1,0
DB08865,1,1,0,0,0,4,0,0,450.342,1.893,702.217,274.687,116.148,190.254,121.128,1278.489,3,5.25,0.0028035,0.0129494,0.8112562,44.26,13.259,22.344,12.218,4.108,-5.522,-6.085,-6.22,195.599,-0.158,432.334,-4.668,7.888,0.564,5,0.762,3,92.01,40.555,0,72.677,6,0,23,0,23,5,30,0,0
DB08867,1,0,0,0,0,3,0,-1,433.589,3.079,717.153,492.097,121.027,104.028,0,1375.374,1,5.75,0.0068947,0.0080178,0.8340024,47.956,12.762,20.507,9.443,4.808,-6.708,-6.334,-4.714,705.012,-0.777,339.054,-3.096,8.197,0.723,7,1.108,1,100,0,0,74.618,4,0,23,0,23,12,32,2,0
DB08868,0,1,0,0,0,15,0,-2,307.475,2.074,700.966,455.25,120.12,125.596,0,1209.662,4,4.4,0.0035561,0.0125541,0.7832691,33.825,12.159,18.498,9.961,3.19,-3.184,-2.751,-6.364,179.351,-1.247,85.422,-3.913,9.352,-0.311,5,0.121,3,85.961,0,0,65.233,3,0,6,0,6,0,22,0,0.025
DB08871,4,1,0,0,0,18,2,-1,729.906,6.846,920.251,821.246,69.039,29.966,0,1981.598,3,18.1,0.0236534,0.0340669,0.8290913,61.878,17.388,34.605,20.859,3.05,-2.229,-5.994,-5.167,547.145,-0.792,285.2,-3.021,9.188,-0.54,15,-0.312,1,67.895,0,0,131.1,12,2,33,0,32,23,52,1,4.103
DB08872,0,0,0,1,0,7,2,-2,329.392,7.062,599.477,434.558,164.919,0,0,1100.108,2,6.5,0.0453383,0.015334,0.8597045,33.378,10.091,17.694,10.071,2.761,-3.764,-3.297,-1.995,68.481,-1.346,34.688,-3.887,9.719,-0.612,2,-0.09,3,75.967,0,0,123.056,7,0,6,0,6,6,23,0,0.007
