Filename,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
DB00014,17,0,1,0,10,36,1,-2,1269.425,9.758,1711.304,763.423,615.961,331.92,0,3574.749,11.5,25.7,0.0266355,0.0509278,0.660696,116.962,42.018,72.507,55.612,-1.219,-4.832,-8.362,5.139,0.001,-11.014,0.003,-10.309,8.054,-0.279,19,-2.541,1,0,0,150.141,553.472,32,3,30,0,30,7,91,2,0
DB00035,19,0,1,0,11,36,1,-2,1069.218,7.914,1285.876,442.392,529.065,277.762,36.657,2764.263,12.5,26.25,0.0226549,0.0721747,0.7407737,84.009,32.31,62.691,57.225,-6.08,2,-2.868,8.067,0.004,-7.944,0.035,-8.898,8.212,1.814,18,-4.626,1,0,0,171.456,484.397,26,3,17,0,17,4,74,2,0.135
DB00091,12,0,0,0,11,38,0,-2,1202.625,12.296,1416.218,1302.996,98.889,14.334,0,3419.076,1,28.7,0.0442183,0.0202652,0.7750101,106.415,28.548,53.387,30.669,0.674,-1.04,-4.631,9.877,298.562,-2.824,571.731,0.357,9.11,-0.304,14,-3.591,1,49.274,0,73.254,284.617,23,2,0,0,0,0,85,1,249247.519
DB00114,0,0,0,2,0,7,1,-2,247.144,2.183,430.43,137.306,245.157,43.83,4.137,713.862,2,7.75,0.0066768,0.0254632,0.8974392,18.339,7.458,13.069,11.741,0.11,-0.936,-1.763,0.214,3.008,-1.878,1.586,-5.211,9.664,1.132,4,-1.267,2,36.147,0,0,136.875,7,0,6,0,6,0,16,1,0.176
DB00119,9,0,0,1,0,1,2,-1,88.063,1.305,253.911,87.617,166.294,0,0,354.08,1,4,0.004808,0.0157535,0.9532731,7.374,2.974,5.544,6.645,-0.579,0.203,0.004,-0.481,66.456,-0.717,33.58,-4.488,10.941,0.52,0,-1.129,2,56.174,0,0,80.451,3,0,0,0,0,0,6,0,3.249
DB00120,0,1,0,1,0,4,0,-1,165.191,1.591,383.317,44.252,148.053,191.013,0,606.948,3,3,0.0041685,0.0135557,0.904428,17.392,6.953,11.433,9.414,-1.156,-0.854,-0.655,-2.908,24.684,-0.486,12.737,-5.254,9.532,-0.206,4,-0.72,2,45.096,0,0,74.294,3,0,6,0,6,0,12,0,0.129
DB00121,0,0,0,1,0,5,0,-2,244.308,5.123,486.619,237.418,215.335,0,33.866,799.911,3,4.5,0.0328115,0.0160171,0.8563873,22.648,7.979,14.538,10.09,1.288,-3.048,-2.559,-2.048,22.776,-1.612,16.179,-5.008,9.215,-0.218,1,-0.497,2,58.781,0,0,108.498,5,0,8,0,8,4,16,1,0.004
DB00123,3,2,0,1,0,7,0,-1,146.189,3.623,374.841,160.56,214.281,0,0,579.803,5,4,0.022639,0.0238615,0.8970955,12.555,6.165,13.343,11.798,-3.207,1.311,1.303,-2.842,1.45,-0.837,0.658,-8.922,9.599,-0.772,5,-1.116,1,11.056,0,0,100.987,4,0,0,0,0,0,10,1,0.004
DB00126,1,0,0,0,0,6,0,-2,176.126,4.95,349.194,80.621,258.17,10.403,0,544.531,4,7.9,0.0449889,0.0452471,0.9235217,11.885,6.2,14.385,14.702,-1.851,-0.64,-0.761,-2.819,35.292,-1.816,13.322,-5.665,9.742,0.615,5,-0.946,2,43.807,0,0,129.427,6,0,5,0,5,1,12,0,0.088
DB00128,3,1,0,2,0,4,0,-2,133.104,1.356,308.168,52.346,255.822,0,0,458.568,3,4,0.0040102,0.0224819,0.933211,9.63,5.035,9.531,9.652,-3.879,-0.708,0.345,0.276,0.594,-1.237,0.289,-7.913,9.875,-0.273,4,-1.192,1,0.186,0,0,125.938,5,0,0,0,0,0,9,1,0.003
DB00129,3,2,0,1,0,6,0,-1,132.162,1.408,343.082,128.324,214.758,0,0,521.266,5,4,0.0038031,0.0260703,0.9130048,10.854,5.681,12.556,11.945,-3.494,1.529,1.442,-2.584,1.435,-0.719,0.651,-9.027,9.473,-0.566,5,-1.148,1,9.293,0,0,101.792,4,0,0,0,0,0,9,1,0.004
DB00130,3,1,0,1,1,5,0,-2,146.146,5.477,344.314,79.034,265.28,0,0,524.935,5,5.5,0.0571484,0.0357184,0.9140012,11.643,6.088,14.66,16.751,-4.221,1.18,1.029,-0.468,0.963,-1.456,0.801,-7.991,9.767,-0.582,5,-1.399,1,1.94,0,37.32,129.056,5,0,0,0,0,0,10,1,0.023
DB00131,1,0,0,2,0,8,1,-2,347.224,5.417,523.397,85.323,330.384,103.245,4.445,920.614,6,14.1,0.0318688,0.0659878,0.8744171,26.538,11.288,26.001,24.841,-1.555,-1.656,-1.691,-0.441,0.468,-2.789,0.213,-6.477,8.534,0.289,4,-1.389,1,0,0,0,185.798,12,2,14,0,14,4,23,1,0.003
DB00132,1,0,0,1,0,13,0,-2,278.434,2.15,620.505,452.004,109.305,59.196,0,1108.802,1,2,0.004167,0.0032232,0.8349416,30.438,9.927,11.751,2.925,5.227,-4.733,-4.028,-2.678,230.653,-1.265,128.891,-2.077,9.883,-0.784,5,0.544,3,86.882,0,0,51.664,2,1,0,0,0,0,20,0,0.043
DB00134,1,1,0,1,0,5,0,-1,149.207,3.082,364.209,169.198,151.819,0,43.193,558.355,3,3.5,0.0170135,0.0166448,0.9003694,12.981,5.37,10.215,8.382,-1.587,-0.676,0.051,-2.063,22.735,-0.482,20.094,-5.9,8.905,-0.227,3,-0.903,2,41.934,0,0,74.649,3,0,0,0,0,0,9,1,0.051
DB00135,0,1,0,1,0,5,0,-2,181.191,1.862,398,43.527,203.385,151.089,0,632.902,4,3.75,0.005477,0.0188442,0.8957211,17.407,7.487,13.475,11.537,-1.882,-0.704,-0.684,-2.859,7.374,-1.029,3.451,-6.318,9.014,-0.218,5,-0.843,2,31.457,0,0,97.092,4,0,6,0,6,0,13,1,0.017
DB00136,1,0,0,0,0,11,0,-2,416.643,3.51,790.349,637.284,122.039,31.026,0,1477.563,3,4.15,0.0083387,0.0090947,0.7937977,46.211,13.761,21.436,8.718,5.609,-6.935,-5.923,-5.017,689.614,-1.391,331.057,-2.603,8.729,0.142,6,1.17,1,100,0,0,63.841,3,1,15,0,15,12,30,1,0
DB00137,10,0,0,0,0,20,0,-2,568.881,1.218,1157.049,889.604,99.432,168.012,0,2135.312,2,3.4,0.0006942,0.0041557,0.6930868,68.064,21.634,26.531,6.189,10.663,-12.719,-9.573,-7.299,1129.763,-2.022,564.447,-0.84,7.912,1.082,11,2.869,1,100,0,0,44.777,2,2,12,0,12,8,42,2,0
DB00138,3,2,0,2,0,9,1,-2,240.292,5.775,429.363,79.245,283.9,0,66.217,711.193,6,7,0.0468896,0.0399346,0.8974267,16.529,8.741,18.76,16.404,-3.111,0.68,0.653,-1.029,0.08,-1.37,0.085,-10.013,9.555,2.154,6,-1.271,1,0,0,0,147.74,6,1,0,0,0,0,14,1,0
DB00139,6,0,0,2,0,3,0,-2,118.089,3.252,293.439,77.171,216.268,0,0,427.516,2,4,0.0247377,0.0192778,0.9352949,9.029,4.196,7.994,8.104,-0.575,-0.218,-0.489,1.036,5.652,-1.266,2.976,-5.217,11.456,-0.615,2,-1.194,2,37.041,0,0,102.117,4,0,0,0,0,0,8,1,0.344
DB00140,0,0,0,0,0,9,0,-2,376.368,8.775,651.345,275.348,296.626,79.371,0,1140.805,5,12.3,0.0675015,0.0422259,0.8106403,34.48,12.594,26.423,21.297,-0.839,-2.868,-2.963,-4.975,15.24,-2.988,5.375,-5.843,9.089,1.633,6,-0.835,2,43.208,0,0,170.097,10,0,14,0,14,0,27,1,0.001
DB00141,2,0,0,0,1,10,0,-2,221.21,4.07,453.625,196.107,257.518,0,0,739.825,3.25,9.55,0.0223909,0.0379532,0.8720758,17.033,7.571,15.427,17.252,-2.228,0.547,0.059,-2.228,18.212,-2.297,13.528,-5.305,10.234,-0.051,5,-1.489,2,36.457,0,36.871,153.663,7,0,0,0,0,0,15,1,3.856
DB00142,2,1,0,2,0,5,0,-2,147.13,1.291,340.495,80.575,259.92,0,0,518.127,4,5,0.0032177,0.029369,0.9162449,11.371,5.771,12.079,11.987,-3.029,-0.012,0.326,0.002,0.543,-1.404,0.262,-7.892,9.852,-0.405,4,-1.215,1,4.471,0,0,126.207,5,0,0,0,0,0,10,1,0.002
DB00143,2,1,0,2,2,11,1,-2,307.321,5.954,573.548,176.333,322.029,0,75.185,955.011,4.5,8,0.0371235,0.0295887,0.8177133,25.002,10.796,19.929,19.177,-2.97,-0.323,0.013,1.156,0.054,-2.727,0.156,-8.461,9.658,0.344,7,-1.73,1,0,0,51.572,195.46,9,1,0,0,0,0,20,2,0.001
DB00145,10,1,0,1,0,2,0,-1,75.067,3.612,233.164,55.769,177.395,0,0,314.34,3,3,0.0415096,0.0222854,0.9588947,5.142,3.092,7.673,8.394,-3.008,0.359,0.692,-1.116,13.007,-0.445,6.372,-6.659,9.842,-0.934,3,-1.106,1,29.275,0,0,78.635,3,0,0,0,0,0,5,1,0.102
DB00146,3,0,0,0,0,10,0,-1,400.643,1.82,787.381,670.295,84.565,32.522,0,1460.799,2,2.45,0.0022671,0.0044004,0.790752,46.197,13.144,18.805,5.547,6.68,-7.864,-6.366,-5.073,1563.053,-0.941,801.702,-2.003,8.675,0.067,6,1.6,1,100,0,0,42.312,2,1,15,0,15,12,29,1,0
DB00148,2,0,1,1,0,3,0,-2,131.134,5.317,321.035,111.279,209.756,0,0,486.068,4,4,0.0581626,0.0249194,0.9312737,11.372,5.225,12.138,11.055,-0.512,-0.569,-0.675,-0.837,25.727,-1.23,12.039,-7.16,8.726,-0.674,2,-0.988,2,49.191,0,0,109.407,5,0,0,0,0,0,9,0,0.002
DB00150,0,1,0,1,0,4,0,-1,204.228,2.21,424.999,40.193,175.272,209.533,0,696.757,4,3,0.0070116,0.0141177,0.8943313,21.163,8.359,14.398,11.29,-1.06,-1.18,-1.406,-3.16,13.624,-0.74,6.7,-5.69,8.237,-0.102,4,-0.62,2,41.042,0,0,88.559,4,0,9,0,9,0,15,1,0.021
DB00151,5,1,0,1,0,4,1,-1,121.154,1.655,290.143,60.679,153.148,0,76.316,423.614,3,2.5,0.0064675,0.0149241,0.9401564,8.231,4.53,8.149,7.46,-1.939,0.065,0.303,-1.419,22.085,-0.247,29.573,-6.021,9.291,0.005,4,-1.059,2,39.646,0,0,75.299,3,0,0,0,0,0,7,1,0.175
DB00153,5,0,0,0,0,8,0,0,396.655,1.736,778.371,692.571,49.232,36.568,0,1466.625,1,1.7,0.0020555,0.002184,0.8020305,47.753,12.693,17.443,3.551,7.535,-8.592,-6.729,-4.91,3380.87,-0.429,1845.726,-1.53,8.695,0.076,7,1.991,1,100,0,0,22.473,1,1,15,0,15,12,29,2,0
DB00156,5,1,0,1,0,4,0,-1,119.12,1.399,299.166,109.15,190.016,0,0,447.296,3,3.7,0.0043736,0.0214215,0.9454744,9.178,4.588,8.91,8.887,-3.353,0.002,0.46,-1.333,9.874,-0.696,4.731,-6.7,10.014,-0.767,4,-1.029,1,25.109,0,0,94.512,4,0,0,0,0,0,8,1,0.05
DB00157,11,0,0,2,0,16,3,-2,665.446,10.692,911.705,192.409,518.617,199.037,1.641,1686.051,8,25.2,0.0678047,0.0781792,0.7514349,52.949,21.121,45.173,39.804,-3.227,-2.304,-3.412,-2.888,0.008,-6.52,0.002,-8.84,8.257,0.53,9,-2.317,1,0,0,0,325.286,21,3,25,0,25,9,44,2,0
DB00158,5,0,0,2,0,10,0,-2,441.402,15.268,754.787,99.761,448.245,206.781,0,1309.783,6.25,12.75,0.1779669,0.0422305,0.7670206,41.817,16.597,33.344,25.498,-0.366,-3.928,-3.976,-2.673,0.036,-5.119,0.012,-8.092,8.339,1.235,6,-1.06,1,0,0,0,251.794,13,2,16,0,16,0,32,1,0
DB00159,1,0,0,1,0,13,0,-2,302.456,2.594,692.181,492.852,109.297,90.032,0,1218.531,1,2,0.0055205,0.0028894,0.7970821,35.124,11.205,13.341,3.308,5.964,-6.058,-4.525,-3.437,230.696,-1.367,128.917,-1.969,9.792,-0.688,7,0.848,3,91.2,0,0,51.647,2,1,0,0,0,0,22,2,0.003
DB00161,4,1,0,1,0,3,0,-1,117.147,1.492,312.612,172.279,140.333,0,0,480.134,3,3,0.0046334,0.0166217,0.9485656,11.135,4.642,9.011,8.113,-1.744,-0.362,0.409,-1.283,29.216,-0.259,15.282,-5.88,9.688,-0.621,3,-0.913,2,42.964,0,0,72.024,3,0,0,0,0,0,8,0,0.16
DB00162,2,0,0,0,0,9,0,0,286.456,1.496,654.487,547.545,56.638,50.304,0,1144.848,1,1.7,0.0019554,0.0025975,0.808654,34.364,9.828,12.7,3.175,5.418,-6.122,-4.408,-4.868,2876.093,-0.556,1549.75,-1.522,8.443,0.347,5,1.032,3,100,0,0,22.909,1,1,6,0,6,4,21,1,0.006
DB00163,8,0,0,0,0,13,0,0,430.713,0.932,911.845,848.924,35.723,27.198,0,1663.455,1,1.5,0.0005222,0.001645,0.7445912,52.33,14.77,18.429,2.416,8.975,-10.358,-7.808,-5.794,4540.852,-0.65,2538.854,-0.834,8.434,-0.261,5,2.38,1,100,0,0,23.716,2,1,10,0,10,3,31,1,0
DB00165,0,0,0,0,0,5,0,-1,169.18,5.934,375.927,169.893,146.61,59.424,0,596.499,3,5.15,0.0590231,0.0237282,0.9115935,15.075,5.971,12.295,10.389,-0.114,-0.998,-1.312,-3.246,403.275,-0.914,185.375,-3.532,9.245,0.176,5,-0.765,2,72.916,0,0,76.566,4,0,6,0,6,0,12,0,4.997
DB00166,1,0,0,1,0,5,1,-1,206.317,2.87,440.974,242.04,109.368,0,89.566,711.135,1,3,0.0115851,0.0068031,0.8737482,19.095,6.36,9.071,4.872,2.576,-2.858,-2.319,-1.767,230.335,-0.473,398.306,-3.055,8.955,1.97,1,-0.383,3,84.31,0,0,51.679,2,0,5,0,5,3,12,0,0.252
DB00169,5,0,0,0,0,9,0,0,384.644,1.711,780.016,698.206,49.228,32.581,0,1443.143,1,1.7,0.0020295,0.0021794,0.7917742,46.133,12.501,16.777,3.307,7.376,-8.459,-6.477,-5.057,3381.169,-0.502,1845.902,-1.448,8.683,0.077,5,1.88,1,100,0,0,22.475,1,1,15,0,15,12,28,1,0
DB00170,1,0,0,0,0,0,0,0,172.183,0.96,380.407,83.959,100.83,195.618,0,608.701,0,4,0.0015153,0,0.913102,20.074,6.071,8.439,6.591,0.996,-1.05,-1.473,-3.871,1095.793,-0.243,546.125,-2.689,10.21,1.637,1,-0.685,3,87.184,0,0,56.444,2,0,10,0,10,0,13,0,16.435
DB00173,2,0,0,0,0,1,0,-1,135.128,9.438,304.28,0,171.466,132.814,0,454.293,3,4,0.1960783,0.0227692,0.9392534,12.653,5.399,13.13,10.634,-0.196,-1.956,-1.267,-3.148,234.361,-0.793,103.103,-4.116,8.639,0.414,1,-0.742,3,68.214,0,0,80.249,5,0,9,0,9,0,10,0,1.651
DB00174,4,1,0,1,1,4,0,-2,132.119,7.17,310.058,53.847,256.211,0,0,463.446,4,4.5,0.1109375,0.0290268,0.9340886,9.825,5.33,12.792,14.262,-4.069,1.358,1.05,-0.143,1.208,-1.237,0.992,-7.92,9.956,-0.894,5,-1.373,1,4.591,0,35.747,126.727,5,0,0,0,0,0,9,1,0.036
DB00175,0,0,0,1,0,13,1,-2,424.533,6.943,724.099,411.544,215.645,96.91,0,1370.729,3,8.1,0.0351633,0.0193753,0.8241409,41.281,13.811,22.813,13.092,3.39,-4.313,-4.735,-3.032,22.622,-2.337,10.477,-3.904,9.292,0.036,7,0.003,2,71.035,0,0,135.656,7,0,10,0,10,6,30,2,0.003
DB00176,0,1,0,0,0,11,0,1,318.338,3.18,610.253,317.495,61.542,113.295,117.92,1046.079,2,5.4,0.0096665,0.0125141,0.8166414,29.729,8.806,15.286,8.24,2.957,-2.905,-2.817,-5.765,644.459,-0.027,1506.463,-3.261,9.366,0.789,4,-0.084,3,94.536,117.92,0,53.624,4,0,6,0,6,0,22,0,0.217
DB00177,0,0,0,1,1,10,0,-2,435.525,6.523,720.157,306.514,164.786,248.858,0,1365.88,2,8.5,0.0311477,0.0166919,0.8266961,44.464,14.248,22.738,14.508,3.248,-4.138,-5.023,-2.341,51.7,-1.647,34.797,-2.72,9.482,0.835,3,-0.244,3,76.633,0,15.495,124.715,8,0,17,0,17,0,32,0,0.06
DB00178,0,1,0,1,1,9,1,-2,416.516,4.786,732.978,401.151,148.895,182.931,0,1363.338,2,8.5,0.0167979,0.0164,0.811229,44.375,13.686,22.288,14.882,0.851,-3.656,-2.969,-3.003,15.42,-1.089,12.486,-4.818,9.455,-0.246,5,-0.221,2,53.19,0,24.667,115.751,7,0,14,0,14,7,30,1,0.001
DB00179,0,0,0,0,0,9,0,-2,302.369,2.922,590.909,170.77,203.846,216.293,0,1026.105,4,3,0.0083229,0.0101539,0.8326055,31.197,11.583,17.802,10.827,2.622,-3.787,-4.484,-5.272,115.564,-1.939,48.015,-3.65,8.791,-0.155,6,0.113,3,79.217,0,0,88.427,4,0,12,0,12,0,22,0,0.011
DB00180,0,0,0,0,0,4,2,-2,434.504,3.672,635.309,360.995,162.344,78.027,33.943,1228.939,2,8.9,0.0109736,0.0198116,0.8733741,41.205,11.588,21.742,13.708,2.355,-4.27,-4.827,-3.953,286.017,-1.013,196.206,-3.853,10.48,0.979,3,0.125,3,84.698,33.943,0,102.516,6,0,20,0,20,13,31,0,0.003
DB00181,0,1,0,1,0,5,0,-1,213.663,5.559,423.334,81.325,149.737,120.761,71.511,696.733,3,3,0.0443527,0.0122743,0.8978265,19.672,7.858,12.993,8.849,-0.483,-1.634,-1.509,-2.68,23.793,-0.402,30.167,-5.436,9.272,-0.081,4,-0.557,2,48.753,0,0,76.059,3,0,6,0,6,0,14,0,0.018
DB00182,1,1,0,0,0,3,0,1,135.208,1.769,369.654,133.089,44.919,191.646,0,580.689,2,1,0.0053879,0.0038258,0.91061,16.989,5.78,8.309,5.47,1.759,-0.565,-0.636,-4.619,926.477,0.42,503.944,-3.447,9.366,-0.475,3,-0.295,3,90.343,0,0,24.658,1,0,6,0,6,0,10,0,13.011
DB00183,11,0,0,1,5,21,0,-2,767.896,11.189,1144.461,480.669,311.967,334.598,17.228,2262.419,4.75,13.25,0.0553343,0.0252326,0.7282482,74.099,25.439,40.423,29.302,2.983,-5.085,-6.874,1.155,0.482,-4.582,1.341,-4.074,8.178,0.164,9,-0.803,1,0,0,95.248,287.038,16,3,15,0,15,0,54,2,0.001
DB00184,0,1,0,0,0,0,0,2,162.234,2.354,395.83,218.232,30.73,146.868,0,644.965,0,3.5,0.0085903,0,0.9120398,21.06,5.604,8.186,5.327,1.182,0.769,-0.247,-4.382,1262.955,0.716,704.398,-3.631,9.317,0.026,5,-0.446,3,89.377,0,0,17.915,2,0,11,0,11,4,12,0,8.184
DB00185,0,1,0,0,0,0,0,2,199.31,2.144,408.933,354.78,12.152,0,42,685.678,0,3.25,0.0067064,0,0.9195882,21.287,5.218,8.005,4.002,1.735,-1.228,-0.886,-3.559,1894.777,0.969,1854.878,-3.806,9.225,-0.301,1,-0.261,3,95.766,0,0,14.048,2,0,12,0,12,9,13,0,1.841
DB00186,0,0,0,0,0,1,0,0,321.162,4.54,522.549,24.754,121.195,252.637,123.963,894.936,2,5.2,0.0230341,0.0140732,0.8594738,31.432,10.479,16.954,11.394,2.511,-3.615,-4.286,-5.011,702.439,-0.286,1612.957,-2.767,9.2,0.85,1,0.023,3,92.597,0,0,75.407,4,0,17,0,12,1,21,0,0.023
DB00187,0,1,0,0,0,10,1,0,295.378,6.032,667.671,414.584,112.718,140.37,0,1113.073,2,5.95,0.032684,0.0126029,0.7779496,33.311,10.804,16.758,9.631,2.211,-2.762,-2.184,-6.521,210.812,-0.882,101.728,-4.205,9.065,-0.256,5,0.01,3,81.483,0,0,79.441,5,0,6,0,6,0,21,0,0.008
DB00189,3,0,0,0,0,4,0,1,144.6,1.739,366.409,192.713,31.136,64.883,77.676,561.045,1.5,0.75,0.0053902,0.0025069,0.8978378,14.35,4.885,6.575,3.334,2.435,-1.386,-1.643,-3.495,5019.226,0.256,7536.448,-1.481,9.967,-0.334,1,-0.292,3,100,0,0,19.096,1,0,0,0,0,0,9,0,37.662
DB00190,2,2,0,1,0,7,1,-2,226.232,1.445,434.463,81.174,250.039,103.251,0,724.582,5,4,0.0028808,0.0205869,0.8979874,19.335,8.678,15.807,12.887,-2.534,0.508,-0.225,-3.32,0.664,-1.129,0.283,-9.217,9.036,-0.021,3,-0.838,1,0,0,0,128.159,6,1,6,0,6,0,16,1,0
DB00191,1,1,0,0,0,3,0,2,149.235,1.69,377.649,166.327,36.314,175.008,0,621.208,2,1,0.0045991,0.0037448,0.9323258,18.452,6.241,8.788,5.318,1.8,-0.766,-0.91,-4.188,1117.98,0.503,617.421,-3.347,9.351,-0.48,2,-0.181,3,92.048,0,0,22.594,1,0,6,0,6,0,11,0,12.994
DB00192,0,1,0,0,1,6,0,0,308.422,5.827,615.612,235.408,95.504,284.699,0,1077.58,3,4,0.0315148,0.0112542,0.8257039,35.837,11.564,18.492,13.321,2.497,-2.384,-2.726,-5.062,164.293,-0.333,152.715,-3.763,8.917,0.38,2,0.033,3,81.219,0,34.11,59.774,3,0,13,0,13,1,23,0,0.22
DB00193,0,1,0,0,0,4,0,2,263.379,2.71,536.66,394.95,23.318,118.391,0,949.543,1,3.5,0.0077351,0.0065218,0.8705811,30.409,8.323,12.642,6.004,3.225,-2.934,-2.445,-4.917,1484.822,0.516,839.053,-3.211,9.039,-0.272,4,0.367,3,100,0,0,29.199,3,0,12,0,12,6,19,0,0.189
DB00194,0,0,0,0,0,5,0,-2,267.244,6.385,466.224,108.078,255.013,103.132,0,789.144,5,10.8,0.0516598,0.0517982,0.8858123,23.202,9.274,21.573,20.135,-1.662,-1.753,-1.506,-3.872,37.81,-1.905,14.352,-5.376,8.485,0.236,5,-0.869,2,45.45,0,0,140.196,9,0,14,0,14,4,19,0,0.02
DB00195,0,1,0,0,0,12,0,1,307.432,3.321,698.718,518.522,52.983,127.213,0,1193.338,2,5.65,0.0092413,0.0114357,0.7787032,35.113,11.094,16.54,8.474,3.492,-3.666,-2.324,-6.446,776.892,-0.344,416.603,-2.958,9.008,-0.355,5,0.188,3,100,0,0,48.353,4,0,9,3,6,3,22,0,0.073
DB00196,0,0,0,0,0,6,0,0,306.274,6.083,502.224,52.249,107.977,270.998,71,899.383,1,6.75,0.0411458,0.0134402,0.8972171,28.575,9.195,15.229,10.32,0.525,-2.106,-3.74,-4.488,937.458,-0.518,1129.721,-1.979,10.029,0.509,1,-0.433,3,83.211,71,0,75.118,7,0,16,0,16,0,22,0,10.781
DB00197,1,0,0,0,0,6,0,-2,441.541,2.893,736.529,391.575,162.277,149.757,32.921,1348.159,2,5.25,0.0062062,0.0100806,0.8013133,45.377,13.67,20.966,10.403,4.559,-6.797,-7.015,-5.461,286.434,-1.402,193.998,-3.407,8.602,0.932,8,0.94,1,100,0,0,105.786,6,0,21,0,21,4,31,2,0
DB00198,0,1,0,0,1,8,1,-1,312.408,7.596,636.519,487.021,134.864,14.634,0,1115.054,3,7.2,0.051739,0.0195921,0.8169922,33.473,10.294,19.337,13.913,0.964,-1.881,-1.141,-3.915,80.718,-0.867,60.318,-5.248,9.565,0.265,3,-0.437,3,66.72,0,25.994,102.205,6,0,6,0,6,4,22,0,0.023
DB00199,5,1,0,0,0,12,4,-1,733.935,12.964,873.221,743.282,129.94,0,0,2018.614,4,19.15,0.0832519,0.0438606,0.8845916,66.926,17.753,39.979,24.778,3.009,-2.343,-4.544,-4.126,144.738,-0.868,67.751,-4.825,9.481,-0.807,9,0.009,2,57.316,0,0,151.493,14,2,26,0,12,21,51,1,0.05
DB00201,1,0,0,0,0,0,0,0,194.193,5.063,399.087,238.452,102.34,58.295,0,646.964,0,5,0.0396264,0,0.9064645,20.294,5.455,9.353,6.697,-0.07,-0.92,-1.417,-3.324,1060.247,-0.267,527.002,-3.2,8.981,0.487,0,-0.841,3,80.687,0,0,74.185,6,0,9,0,9,0,14,0,8.434
DB00202,3,0,0,0,0,9,2,-2,290.402,18.649,660.851,562.962,97.889,0,0,1135.912,0,4,0.3061668,0,0.7966939,33.526,9.459,16.438,3.93,4.08,-5.181,-3.385,-4.822,1168.479,-1.007,585.383,-2.46,1.393,0.123,3,0.463,3,100,0,0,71.801,6,0,0,0,0,0,20,0,0.007
DB00203,0,1,0,0,0,7,0,-2,474.577,7.244,790.249,542.897,148.809,98.542,0,1456.796,1,11.75,0.0360192,0.0148687,0.7864425,48.593,13.821,24.176,14.798,1.995,-3.766,-4.054,-6.184,95.861,-1.064,43.402,-5.305,8.784,0.974,3,-0.133,3,74.095,0,0,117.877,10,0,21,0,21,4,33,0,0
DB00204,0,1,0,0,0,11,0,-2,441.559,7.101,776.019,358.295,180.333,236.102,1.289,1373.286,2,11.75,0.0367137,0.0214131,0.7699572,43.997,14.557,24.173,16.496,1.389,-3.103,-3.183,-7.106,48.162,-1.726,20.963,-5.018,8.379,0.778,3,-0.446,3,65.193,0,0,113.643,8,0,12,0,12,0,29,0,0.003
DB00205,0,0,0,0,0,4,0,-1,248.714,2.723,475.97,109.511,147.68,147.259,71.52,793.258,4,3,0.0093462,0.0126058,0.870686,24.43,9.05,15.647,10.827,1.792,-2.98,-3.45,-4.327,393.956,-0.801,445.519,-3.338,8.436,0.088,1,-0.244,3,83.892,0,0,74.565,4,0,12,0,12,0,17,0,0.119
DB00206,0,1,0,0,0,8,2,1,608.687,5.526,874.381,655.092,56.714,162.575,0,1736.206,1,10.7,0.0175856,0.0122372,0.7989727,59.745,16.012,27.059,13.554,4.925,-5.484,-7.119,-6.286,716.113,-0.112,381.489,-3.287,8.093,0.422,7,0.802,2,80.965,0,0,111.645,11,2,27,0,27,11,44,1,0.001
DB00207,8,2,0,0,0,12,3,0,748.993,5.693,966.19,840.662,125.528,0,0,2131.661,5,20.15,0.0152046,0.0466334,0.8290508,71.45,19.196,42.384,27.422,3.907,-2.237,-3.276,-5.75,39.748,-0.58,18.541,-6.806,8.947,-1.389,8,0.005,2,52.53,0,0,133.09,14,2,27,0,12,22,52,1,0.001
DB00208,2,1,0,0,0,2,0,1,263.784,3.022,493.223,133.433,0,258.505,101.285,839.627,0,2,0.0108792,0,0.8726621,28.632,8.572,10.459,4.229,4.619,-3.413,-3.413,-5.551,2470.586,-0.455,5219.611,-2.479,9.141,0.248,5,0.436,3,100,0,0,3.78,1,0,15,0,15,3,17,0,0.338
DB00210,1,0,0,1,0,3,0,-1,412.527,4.413,717.718,345.29,106.952,265.476,0,1306.193,1,2.75,0.0149092,0.0038316,0.8051606,46.729,13.236,18.608,7.491,6.434,-7.871,-7.426,-4.143,242.814,-0.717,136.252,-2.267,8.664,1.032,1,1.367,1,94.351,0,0,54.004,3,1,26,0,26,10,31,1,0
DB00211,0,1,0,0,1,8,0,-1,254.285,8.647,515.514,275.246,154.733,85.535,0,863.761,4,6.7,0.0865673,0.0259935,0.8508519,24.094,8.766,17.987,15.336,-0.502,-0.049,-0.505,-3.705,50.71,-0.945,37.739,-5.364,8.885,0.082,7,-0.94,2,54.521,0,27.686,99.676,6,0,6,0,6,0,18,1,1.021
